spectrumfile,SN,host_z,z,m15,spec_type,Mv_peak,instrument,obsdate,phase,un_p,filter,SNR,exptime(s),exptime_total,shift,width,comments,m
ASASSN-17qg_LDSS3_20180408.txt,ASASSN-17gq,Y,0.01933,---,Ia,,LDSS3,04/07/2018,124,,,33,,,,,,
2017fzw_VLT_20180410.txt,2017fzw,Y,0.0054,1.7,Ia-91bg,,VLT,04/10/2018,229,,,14,,,,,,
---,2017isq,Y,0.009393,---,Ia,,VLT,05/15/2018,190,,,---,,,,,,
ASASSN-18an_VLT_20180518.txt,ASASSN-18an,Y,0.017906,1.9,Ia,,VLT,05/18/2018,118,,,17,,,,,,
ASASSN-17pg_GTC_20180522.txt,ASASSN-17pg,Y,0.005624,1.7,Ia,,GTC,05/22/2018,175,,,18,,,,,,
ASASSN-18an_LDSS3_20180603.txt,ASASSN-18an,Y,0.017906,1.9,Ia,,LDSS3,06/03/2018,134,,,17,5*1200,,,,,
ASASSN-17qg_LDSS3_20180603.txt,ASASSN-17qg,Y,0.01933,---,Ia,,LDSS3,06/03/2018,181,,,10,3*1200,,,,,
2018xx_LDSS3_20180603.txt,2018xx,Y,0.009990,1.3,Ia,,LDSS3,06/03/2018,90,,,27,3*200,,,,,
2017izu_LDSS3_20180603.txt,2017izu,Y,0.016915,---,Ia,,LDSS3,06/03/2018,155,,,21,3*600,,,,,
ASASSN-18en_LDSS3_20180603.txt,ASASSN-18en,Y,0.013763,1.7,Ia,,LDSS3,06/03/2018,83,,,25,3*300,,,,,
2017cbv_LDSS3_20180603.txt,2017cbv,Y,0.00399,1,Ia,,LDSS3,06/03/2018,434,,,5,3*1500,,,,,
2017bzc_LDSS3_20180603.txt,2017bzc,Y,0.005365,---,Ia,,LDSS3,06/03/2018,445,,,3,4*1500,,,,,
2017gah_VLT_20180611.txt,2017gah,Y,0.008906,1.7,Ia,,VLT,06/11/2018,293,,,4,,,,,,
ASASSN-18an_VLT_20180613.txt,ASASSN-18an,Y,0.017906,1.9,Ia,,VLT,06/13/2018,144,,,16,,,,,,
---,2017gxq?,Y,0.008406,1.2,Ia,,LBT,06/?/2018,,,,---,,,,,,
---,ASASSN-17pg?,Y,0.005624,1.7,Ia,,LBT,06/?/2018,,,,---,,,,,,
2017fgc_LDSS3_20180621_partobs.txt,2017fgc,Y,0.007722,1,Ia,,LDSS3,06/21/2018,330,,,10,1700+2*1500,,,,,
2017gah_LDSS3_20180621.txt,2017gah,Y,0.008906,1.7,Ia,,LDSS3,06/21/2018,302,,,12,7*1800+1720,,,,,
2017izu_LDSS3_20180621.txt,2017izu,Y,0.016915,---,Ia,,LDSS3,06/21/2018,172,,,16,3*1200,,,,,
2018xx_LDSS3_20180621.txt,2018xx,Y,0.009990,1.3,Ia,,LDSS3,06/21/2018,107,,,40,3*150,,,,,
ASASSN-18en_LDSS3_20180621.txt,ASASSN-18en,Y,0.013763,1.7,Ia,,LDSS3,06/21/2018,100,,,28,3*900,,,,,
ASASSN-18en_LDSS3_20180804.txt,ASASSN-18en,Y,0.013763,1.7,Ia,,LDSS3,08/04/2018,145,,,16,4*,,,,,
---,ASASSN-18da,N,0.02,0.9,Ia,,LDSS3,08/04/2018,157,,,---,,,,,,
---,2018yu,Y,0.008112,1.2,Ia,,LDSS3,08/04/2018,140,,,---,,,,,,
2017fgc_VLT_20180808.txt,2017fgc,Y,0.007722,1,Ia,,VLT,08/09/2018,380,,,7,,,,,,
2017glq_VLT_20180817.txt,2017glq,Y,0.011755,1.3,Ia,,VLT,08/17/2018,330,,,10,,,,,,
ASASSN-18iu_Palomar_20180817.txt,ASASSN-18iu,Y,0.0223,1.3,Ia,,Palomar,08/17/2018,105,,,28,3*1200,,,,host galaxy observed simultaneously,
ASASSN-18nt_Palomar_20180817.txt,ASASSN-18nt,N,0.018,2,Ia-91bg,,Palomar,08/17/2018,54,,,15,3*900,,,,,
---,2017glq,Y,0.011755,1.3,Ia,,GTC,08/25/2018,338,,,---,,,,,,
2018big_Palomar_20180907.txt,2018big,Y,0.01815,1.2,Ia,,Palomar,09/07/2018,103,,,20,,,,,,
2018yu_Palomar_20180907.txt,2018yu,Y,0.008112,1.2,Ia,,Palomar,09/07/2018,174,,,31,3*900,,,,,
ASASSN-18iu_Palomar_20180907.txt,ASASSN-18iu,Y,0.0223,1.3,Ia,,Palomar,09/07/2018,125,,,28,3*1000,,,,,
ASASSN-18nt_Palomar_20180907.txt,ASASSN-18nt,N,0.018,2,Ia-91bg,,Palomar,09/07/2018,75,,,15,3*1200,,,,,
---,2017hpa,Y,0.015654,1.2,Ia,,VLT,09/07/2018,300,,,---,2*1300,,,,,
---,2017iyb,Y,0.010108,1.5,Ia,,VLT,09/10/2018,255,,,---,2*1300,,,,,
---,2017iyb,Y,0.010108,1.5,Ia,,VLT,09/20/2018,265,,,---,2*1300,,,,,
---,ASASSN-18da,N,0.02,0.9,Ia,,VLT,10/08/2018,222,,,---,2*1450,,,,,
---,2018gv,Y,0.005274,1,Ia,,LDSS3,10/12/2018,255,,,---,2*1800+1200,,,,Tom's run,
---,2017iyb,Y,0.010108,1.5,Ia,,VLT,11/03/2018,310,,,---,,,,,,
---,2018yu,Y,0.008112,1.2,Ia,,VLT,11/10/2018,237,,,---,2*1450,,,,,
ASASSN-18nt_Keck_20181202.txt,ASASSN-18nt,N,0.018,2,Ia-91bg,,Keck,12/02/2018,160,,,---,3*1200,,,,,
---,ASASSN-18nt,N,0.018,2,Ia-91bg,,VLT,12/04/2018,163,,,---,2*1450,,,,,
---,ASASSN-18nt,N,0.018,2,Ia-91bg,,VLT,12/06/2018,165,,,---,2*1450,,,,,
---,ASASSN-18hb,Y,0.012509,1.2,Ia,,VLT,12/08/2018,240,,,---,2*1450,,,,,
---,ASASSN-18od,Y,0.018229,1,Ia,,VLT,12/10/2018,150,,,---,2*1450,,,,,
