spectrumfile,SN,host_z,z,m15,spec_type,Mv_peak,instrument,obsdate,phase,un_p,filter,SNR,exptime(s),exptime_total,shift,width,comments,m
ASASSN-16no_LDSS3_20170321.txt,ASASSN-16no,Y,0.020708,---,Ia,-18.3,LDSS3,3/21/2017,110,,r,14,1*1800,1800,-924,6817,--,"ccd0084c1; (701,2782)"
2016jae_LDSS3_20170321.txt,2016jae,N,0.021,1.9,Ia,-17.9,LDSS3,3/21/2017,80,,r,12,2*1800,3600,-884,3800,--,"ccd0102c1; (702,2781), m_r ~ 20.6"
ASASSN-16jc_LDSS3_20170321.txt,ASASSN-16jc,Y,0.010914,0.8,Ia,-19.5,LDSS3,3/21/2017,195,,r,20,3*1800+1800,7200,-745,8083,--,"ccd0129c1; (697,2781), m_r ~ 20"
2016gfr_GTC_20170329.txt,2016gfr,Y,0.01669,0.9,Ia,-18.7,GTC,3/29/2017,185,,,27,,,,,,
2016iuh_GTC_20170501.txt,2016iuh,Y,0.013696,1.6,Ia-91bg,-18.3,GTC,5/1/2017,134,,,22,,,,,,
ASASSN-16jf_LDSS3_20170502.txt,ASASSN-16jf,Y,0.011441,1.6,Ia,-18.6,LDSS3,5/2/2017,244,,,5,3*1800,,,,,
2016gwl_LDSS3_20170502.txt,2016gwl,Y,0.008763,---,Ia,---,LDSS3,5/2/2017,216,,,12,4*1800,,,,,m_r ~ 21.8
ASASSN-16oq_LDSS3_20170502.txt,ASASSN-16oq,Y,0.01992,---,Ia,-19.5,LDSS3,5/2/2017,152,,,29,3*1800,,,,,m_r ~ 20.3
ASASSN-16mv_LDSS3_20170502.txt,ASASSN-16mv,Y,0.018556,1.3,Ia,-17.7,LDSS3,5/2/2017,175,,,7,3*1200,,,,,
2016hpw_LDSS3_20170502.txt,2016hpw,Y,0.02117,1,Ia,-18.7,LDSS3,5/2/2017,172,,,11,,,,,,
2016jae_GTC_20170518.txt,2016jae,N,0.021,1.9,Ia,-17.9,GTC,5/18/2017,138,,,4,,,,,,
ASASSN-16lx_GTC_20170518.txt,ASASSN-16lx,Y,0.018596,1.2,Ia,-19,GTC,5/18/2017,211,,,11,,,,,,
ASASSN-17bu_LDSS3_20170520.txt,ASASSN-17bu,Y,0.015584,---,Ia,-18.7,LDSS3,5/20/2017,99,,,16,2*900,,,,,18.6
2017cbr_LDSS3_20170520.txt,2017cbr,Y,0.017271,---,Ia,-18.6,LDSS3,5/20/2017,60,,,30,2*900,,,,,18.1
ASASSN-16oq_LDSS3_20170520.txt,ASASSN-16oq,Y,0.01992,---,Ia,-19.5,LDSS3,5/20/2017,170,,,19,3*1800,,,,,20.7
ASASSN-16lc_LDSS3_20170520.txt,ASASSN-16lc,Y,0.0206,1,Ia,-18.3,LDSS3,5/20/2017,225,,,11,4*1800,,,,,m_r ~ 22
2016iuh_LBT_20170527.txt,2016iuh,Y,0.013696,1.6,Ia-91bg,-18.3,LBT,5/27/2017,160,,,22,6*1200,,,,observed with both mods1 and mods2 ,m_r ~ 21
2016gxp_LBT_20170528.txt,2016gxp,Y,0.017849,1.1,Ia,-19.7,LBT,5/28/2017,213,,,14,3*1200,,,,observed with only mods1,m_r ~ 20.7
ASASSN-17cz_LBT_20170528.txt,ASASSN-17cz,Y,0.017382,---,Ia,---,LBT,5/28/2017,94,,,27,3*900,,,,observed with only mods1,19.1
ASASSN-17co_GTC_20170619.txt,ASASSN-17co,Y,0.018056,---,Ia,-18.6,GTC,6/19/2017,115,,,29,,,,,,
